# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
32 36 1 ff00aa
33 36 1 ff00aa
34 36 1 ffffaa
35 36 1 ffffaa
36 36 1 ffffaa
37 36 1 ffffaa
38 36 1 ffffaa
46 36 1 ff00aa
47 36 1 ff00aa
33 37 1 ff00aa
39 37 1 aabbff
46 37 1 ff00aa
33 38 1 ff00aa
39 38 1 aabbff
46 38 1 ff00aa
33 39 1 ff00aa
39 39 1 aabbff
46 39 1 ff00aa
33 40 1 ff00aa
39 40 1 aabbff
46 40 1 ff00aa
33 41 1 ff00aa
39 41 1 aabbff
46 41 1 ff00aa
33 42 1 ff00aa
39 42 1 aabbff
46 42 1 ff00aa
33 43 1 ff00aa
39 43 1 aabbff
46 43 1 ff00aa
33 44 1 ff00aa
39 44 1 aabbff
46 44 1 ff00aa
33 45 1 ff00aa
46 45 1 ff00aa
33 46 1 ff00aa
46 46 1 ff00aa
33 47 1 ff00aa
46 47 1 ff00aa
32 36 2 ff00aa
33 36 2 ff00aa
46 36 2 ff00aa
47 36 2 ff00aa
33 37 2 ff00aa
34 37 2 ffffaa
35 37 2 ffffaa
36 37 2 ffffaa
37 37 2 ffffaa
38 37 2 ffffaa
39 37 2 aabbff
46 37 2 ff00aa
33 38 2 ff00aa
39 38 2 aabbff
46 38 2 ff00aa
33 39 2 ff00aa
39 39 2 aabbff
46 39 2 ff00aa
33 40 2 ff00aa
39 40 2 aabbff
46 40 2 ff00aa
33 41 2 ff00aa
39 41 2 aabbff
46 41 2 ff00aa
33 42 2 ff00aa
39 42 2 aabbff
46 42 2 ff00aa
33 43 2 ff00aa
39 43 2 aabbff
46 43 2 ff00aa
33 44 2 ff00aa
39 44 2 aabbff
46 44 2 ff00aa
33 45 2 ff00aa
46 45 2 ff00aa
33 46 2 ff00aa
46 46 2 ff00aa
33 47 2 ff00aa
46 47 2 ff00aa
32 36 3 ff00aa
33 36 3 ff00aa
46 36 3 ff00aa
47 36 3 ff00aa
33 37 3 ff00aa
39 37 3 aabbff
46 37 3 ff00aa
33 38 3 ff00aa
34 38 3 ffbbaa
35 38 3 ffbbaa
36 38 3 ffbbaa
37 38 3 ffbbaa
38 38 3 ffbbaa
39 38 3 aabbff
46 38 3 ff00aa
33 39 3 ff00aa
39 39 3 aabbff
46 39 3 ff00aa
33 40 3 ff00aa
39 40 3 aabbff
46 40 3 ff00aa
33 41 3 ff00aa
39 41 3 aabbff
46 41 3 ff00aa
33 42 3 ff00aa
39 42 3 aabbff
46 42 3 ff00aa
33 43 3 ff00aa
39 43 3 aabbff
46 43 3 ff00aa
33 44 3 ff00aa
39 44 3 aabbff
46 44 3 ff00aa
33 45 3 ff00aa
46 45 3 ff00aa
33 46 3 ff00aa
46 46 3 ff00aa
33 47 3 ff00aa
46 47 3 ff00aa
32 36 4 ff00aa
33 36 4 ff00aa
46 36 4 ff00aa
47 36 4 ff00aa
33 37 4 ff00aa
39 37 4 aabbff
46 37 4 ff00aa
33 38 4 ff00aa
39 38 4 aabbff
46 38 4 ff00aa
33 39 4 ff00aa
34 39 4 ffbbaa
35 39 4 ffbbaa
36 39 4 ffbbaa
37 39 4 ffbbaa
38 39 4 ffbbaa
39 39 4 aabbff
46 39 4 ff00aa
33 40 4 ff00aa
39 40 4 aabbff
46 40 4 ff00aa
33 41 4 ff00aa
39 41 4 aabbff
46 41 4 ff00aa
33 42 4 ff00aa
39 42 4 aabbff
46 42 4 ff00aa
33 43 4 ff00aa
39 43 4 aabbff
46 43 4 ff00aa
33 44 4 ff00aa
39 44 4 aabbff
46 44 4 ff00aa
33 45 4 ff00aa
46 45 4 ff00aa
33 46 4 ff00aa
46 46 4 ff00aa
33 47 4 ff00aa
46 47 4 ff00aa
32 36 5 ff00aa
33 36 5 ff00aa
46 36 5 ff00aa
47 36 5 ff00aa
33 37 5 ff00aa
39 37 5 aabbff
46 37 5 ff00aa
33 38 5 ff00aa
39 38 5 aabbff
46 38 5 ff00aa
33 39 5 ff00aa
39 39 5 aabbff
46 39 5 ff00aa
33 40 5 ff00aa
34 40 5 ffba0a
35 40 5 ffba0a
36 40 5 ffba0a
37 40 5 ffba0a
38 40 5 ffba0a
39 40 5 aabbff
46 40 5 ff00aa
33 41 5 ff00aa
39 41 5 aabbff
46 41 5 ff00aa
33 42 5 ff00aa
39 42 5 aabbff
46 42 5 ff00aa
33 43 5 ff00aa
39 43 5 aabbff
46 43 5 ff00aa
33 44 5 ff00aa
39 44 5 aabbff
46 44 5 ff00aa
33 45 5 ff00aa
46 45 5 ff00aa
33 46 5 ff00aa
46 46 5 ff00aa
33 47 5 ff00aa
46 47 5 ff00aa
32 36 6 ff00aa
33 36 6 ff00aa
46 36 6 ff00aa
47 36 6 ff00aa
33 37 6 ff00aa
39 37 6 aabbff
46 37 6 ff00aa
33 38 6 ff00aa
39 38 6 aabbff
46 38 6 ff00aa
33 39 6 ff00aa
39 39 6 aabbff
46 39 6 ff00aa
33 40 6 ff00aa
39 40 6 aabbff
46 40 6 ff00aa
33 41 6 ff00aa
34 41 6 ffba0a
35 41 6 ffba0a
36 41 6 ffba0a
37 41 6 ffba0a
38 41 6 ffba0a
39 41 6 aabbff
46 41 6 ff00aa
33 42 6 ff00aa
39 42 6 aabbff
46 42 6 ff00aa
33 43 6 ff00aa
39 43 6 aabbff
46 43 6 ff00aa
33 44 6 ff00aa
39 44 6 aabbff
46 44 6 ff00aa
33 45 6 ff00aa
46 45 6 ff00aa
33 46 6 ff00aa
46 46 6 ff00aa
33 47 6 ff00aa
46 47 6 ff00aa
32 36 7 ff00aa
33 36 7 ff00aa
46 36 7 ff00aa
47 36 7 ff00aa
33 37 7 ff00aa
39 37 7 aabbff
46 37 7 ff00aa
33 38 7 ff00aa
39 38 7 aabbff
46 38 7 ff00aa
33 39 7 ff00aa
39 39 7 aabbff
46 39 7 ff00aa
33 40 7 ff00aa
39 40 7 aabbff
46 40 7 ff00aa
33 41 7 ff00aa
39 41 7 aabbff
46 41 7 ff00aa
33 42 7 ff00aa
34 42 7 ffba0a
35 42 7 ffba0a
36 42 7 ffba0a
37 42 7 ffba0a
38 42 7 ffba0a
39 42 7 aabbff
46 42 7 ff00aa
33 43 7 ff00aa
39 43 7 aabbff
46 43 7 ff00aa
33 44 7 ff00aa
39 44 7 aabbff
46 44 7 ff00aa
33 45 7 ff00aa
46 45 7 ff00aa
33 46 7 ff00aa
46 46 7 ff00aa
33 47 7 ff00aa
46 47 7 ff00aa
32 36 8 ff00aa
33 36 8 ff00aa
46 36 8 ff00aa
47 36 8 ff00aa
33 37 8 ff00aa
39 37 8 aabbff
46 37 8 ff00aa
33 38 8 ff00aa
39 38 8 aabbff
46 38 8 ff00aa
33 39 8 ff00aa
39 39 8 aabbff
46 39 8 ff00aa
33 40 8 ff00aa
39 40 8 aabbff
46 40 8 ff00aa
33 41 8 ff00aa
39 41 8 aabbff
46 41 8 ff00aa
33 42 8 ff00aa
39 42 8 aabbff
46 42 8 ff00aa
33 43 8 ff00aa
34 43 8 ffba0a
35 43 8 ffba0a
36 43 8 ffba0a
37 43 8 ffba0a
38 43 8 ffba0a
39 43 8 aabbff
46 43 8 ff00aa
33 44 8 ff00aa
39 44 8 aabbff
46 44 8 ff00aa
33 45 8 ff00aa
46 45 8 ff00aa
33 46 8 ff00aa
46 46 8 ff00aa
33 47 8 ff00aa
46 47 8 ff00aa
32 36 9 ff00aa
33 36 9 ff00aa
46 36 9 ff00aa
47 36 9 ff00aa
33 37 9 ff00aa
39 37 9 aabbff
46 37 9 ff00aa
33 38 9 ff00aa
39 38 9 aabbff
46 38 9 ff00aa
33 39 9 ff00aa
39 39 9 aabbff
46 39 9 ff00aa
33 40 9 ff00aa
39 40 9 aabbff
46 40 9 ff00aa
